Fabric_Type,Region,Cost_per_Unit(INR),Transport_Time(days),Distance_to_Base(km),Demand_Units,Available_Stock,Supplier_Rating(1-5),Risk_Factor(1-10),Supply_Priority
Cotton,High Altitude,554.62,41.2,1372.8,17569,9171,1.6,5.1,HIGH
Bamboo Fibre,Jungle,300.66,28.93,1475.1,16489,11184,4.5,5.6,HIGH
Polyester,High Altitude,216.35,29.23,2308.2,17452,27687,1.1,4.1,MEDIUM
Nylon,High Altitude,772.63,26.69,2040.9,6071,7247,2.7,3.1,MEDIUM
Bamboo Fibre,Jungle,405.29,23.31,1483.4,14641,10921,2.3,9.1,HIGH
Cotton,Cold Desert,552.71,22.01,939.1,5281,7983,3.1,4.4,MEDIUM
Bamboo Fibre,Hot Desert,634.41,13.88,1066.5,8296,10909,3.3,6.3,MEDIUM
Kevlar,Cold Desert,3364.64,29.69,1065.8,5960,7380,3.9,6.5,MEDIUM
Wool,High Altitude,687.62,30.51,1976.1,11374,13429,1.5,6.4,MEDIUM
Cotton,Cold Desert,332.35,26.8,1516.6,12249,7774,4.7,5.3,HIGH
Bamboo Fibre,Jungle,640.95,22.98,1504.4,11726,11327,4.1,3.3,MEDIUM
Polyester,Jungle,186.16,24.66,1961.7,17251,21168,4.3,7.5,MEDIUM
Bamboo Fibre,Cold Desert,603.31,29.89,1474.3,9143,14604,1.4,8.6,MEDIUM
Nylon,Cold Desert,354.04,19.81,1129.3,7592,9701,3.8,8.6,MEDIUM
Nylon,Hot Desert,704.2,15.63,1095.0,4533,1912,1.3,5.5,MEDIUM
Kevlar,General Use,2082.29,4.82,330.9,5685,5263,3.6,8.9,MEDIUM
Bamboo Fibre,High Altitude,630.92,31.04,1107.4,17564,23791,2.3,2.3,MEDIUM
Nylon,Hot Desert,456.64,23.48,1728.4,7933,6929,2.0,3.6,MEDIUM
Bamboo Fibre,Hot Desert,527.84,11.96,694.5,11974,13352,3.7,6.8,MEDIUM
Bamboo Fibre,Coastal,525.48,13.63,452.4,7533,5534,2.0,5.3,MEDIUM
Wool,General Use,1142.02,9.04,710.9,6558,8608,4.6,2.0,LOW
Bamboo Fibre,Cold Desert,683.17,25.01,1636.7,7284,10355,1.2,7.8,MEDIUM
Polyester,High Altitude,237.48,42.48,1723.7,15094,18794,3.1,1.9,MEDIUM
Bamboo Fibre,Hot Desert,267.22,19.03,989.9,10789,10347,3.6,3.0,MEDIUM
Kevlar,Jungle,2160.28,32.0,2117.9,9228,14753,4.5,6.8,MEDIUM
Bamboo Fibre,High Altitude,368.17,37.31,2086.6,6633,5463,2.7,7.6,HIGH
Bamboo Fibre,Cold Desert,445.88,24.08,1061.1,10576,8535,3.9,9.6,HIGH
Wool,Coastal,527.06,9.66,635.6,8742,5052,4.7,5.9,MEDIUM
Bamboo Fibre,Jungle,278.59,26.82,1902.7,17407,27135,3.4,6.8,MEDIUM
Bamboo Fibre,Jungle,373.77,18.53,1410.0,9789,12715,2.2,2.2,MEDIUM
Bamboo Fibre,Jungle,316.59,37.54,2023.9,8213,4762,2.6,7.7,HIGH
Kevlar,General Use,2883.72,3.77,172.0,9344,7353,3.9,3.0,MEDIUM
Wool,Jungle,1064.26,25.05,1303.1,12590,11436,4.8,4.0,MEDIUM
Bamboo Fibre,Jungle,649.09,23.05,1623.4,8568,11332,2.2,4.6,MEDIUM
Bamboo Fibre,High Altitude,314.45,30.8,1893.5,14311,15458,1.9,8.0,MEDIUM
Kevlar,Hot Desert,1630.11,18.21,1340.4,12570,17421,1.9,8.4,MEDIUM
Bamboo Fibre,General Use,330.67,4.41,246.2,3635,1563,1.8,6.1,MEDIUM
Polyester,High Altitude,204.31,22.69,1470.9,9640,5791,2.9,7.8,HIGH
Wool,Jungle,769.74,38.15,2283.6,8557,11756,3.2,8.7,MEDIUM
Kevlar,Jungle,2368.8,16.98,1244.0,13400,9787,2.6,9.0,MEDIUM
Bamboo Fibre,Coastal,555.03,12.78,560.7,10589,6034,3.4,9.1,MEDIUM
Cotton,Jungle,383.33,34.73,1361.9,11148,16784,1.8,2.8,MEDIUM
Cotton,Cold Desert,498.38,22.4,788.2,14827,7435,1.2,8.5,HIGH
Polyester,Jungle,310.81,24.93,1142.1,13016,20116,4.4,8.0,MEDIUM
Cotton,High Altitude,264.21,42.65,2986.5,17205,12643,4.9,8.5,HIGH
Polyester,Cold Desert,175.53,25.59,1549.2,13505,16931,2.0,2.5,MEDIUM
Bamboo Fibre,Coastal,549.69,14.66,581.5,8772,5503,1.6,9.6,MEDIUM
Wool,Jungle,982.59,28.65,982.2,11972,15680,2.9,1.4,MEDIUM
Nylon,Coastal,824.61,9.32,437.1,6723,7547,2.6,7.7,LOW
Kevlar,High Altitude,1330.02,39.47,1975.8,10720,14977,2.8,7.5,MEDIUM
Bamboo Fibre,Coastal,688.67,8.8,388.8,9605,13842,3.7,8.9,LOW
Cotton,Jungle,311.81,28.75,1589.1,8778,12609,4.1,4.7,MEDIUM
Kevlar,General Use,3002.48,3.95,171.0,5272,7860,3.2,3.4,LOW
Bamboo Fibre,Hot Desert,268.59,18.17,1206.7,11520,16798,2.4,1.1,MEDIUM
Wool,General Use,999.99,9.48,326.6,6031,4101,4.9,5.3,MEDIUM
Polyester,Jungle,305.59,30.51,2363.4,10833,5197,1.6,5.8,HIGH
Polyester,Coastal,447.49,8.6,326.0,9849,13747,1.4,7.6,LOW
Cotton,Cold Desert,415.06,29.36,2151.8,13359,6675,4.1,8.1,HIGH
Kevlar,Hot Desert,1406.64,23.41,1563.5,12123,10521,4.6,2.5,MEDIUM
Bamboo Fibre,Coastal,494.61,11.0,745.7,7810,5828,4.6,7.5,MEDIUM
Cotton,High Altitude,504.74,32.09,2256.0,9928,9389,4.4,9.5,MEDIUM
Cotton,Hot Desert,288.67,13.63,915.7,7951,4028,3.5,1.6,MEDIUM
Nylon,High Altitude,560.76,24.96,890.7,13062,8205,1.8,1.8,HIGH
Nylon,Jungle,827.56,27.81,1479.3,17045,17233,3.9,3.4,MEDIUM
Kevlar,Cold Desert,2829.24,29.82,2187.5,14097,10657,4.9,5.6,HIGH
Bamboo Fibre,Cold Desert,274.89,18.34,835.5,8370,8252,2.2,2.0,MEDIUM
Polyester,Coastal,359.24,8.21,355.1,13489,19532,1.7,5.4,LOW
Polyester,Hot Desert,159.46,23.71,1033.9,9633,9272,1.3,9.7,MEDIUM
Wool,High Altitude,1092.18,38.32,2261.4,15764,15707,2.7,5.6,MEDIUM
Cotton,Jungle,535.26,39.16,2837.1,19828,18188,3.2,4.7,MEDIUM
Wool,Hot Desert,1177.89,24.54,813.5,9654,4731,1.7,4.2,HIGH
Wool,General Use,879.34,8.27,606.1,3716,4833,2.5,5.7,LOW
Cotton,Hot Desert,516.8,22.43,1478.8,12848,16727,1.8,5.0,MEDIUM
Polyester,Hot Desert,425.26,22.87,1079.9,4881,6822,2.7,3.0,MEDIUM
Polyester,Coastal,359.99,7.1,368.3,5976,7870,3.3,9.5,LOW
Cotton,Cold Desert,322.64,13.19,607.7,14491,9727,3.6,7.3,MEDIUM
Wool,Jungle,624.26,27.98,868.6,12773,9194,2.8,3.0,HIGH
Bamboo Fibre,Cold Desert,581.51,28.44,1039.5,9377,12007,4.9,8.8,MEDIUM
Kevlar,Jungle,2969.06,23.71,1212.7,18367,8332,1.8,5.2,HIGH
Kevlar,Coastal,1884.5,10.81,624.7,8678,10317,4.0,8.9,MEDIUM
Cotton,Coastal,426.71,9.69,525.4,8118,5107,3.4,5.2,MEDIUM
Bamboo Fibre,Coastal,444.17,8.25,457.7,4685,6895,4.4,4.8,LOW
Polyester,Coastal,351.14,8.38,415.6,11687,5102,3.4,6.1,MEDIUM
Cotton,Cold Desert,484.93,29.0,988.6,6805,5123,3.6,5.6,HIGH
Nylon,Hot Desert,744.41,21.14,956.9,12622,14444,2.5,8.6,MEDIUM
Kevlar,High Altitude,2431.57,20.55,855.5,14996,14939,3.1,4.6,MEDIUM
Polyester,High Altitude,270.5,30.71,1436.2,9937,13104,4.4,5.7,MEDIUM
Kevlar,High Altitude,2061.51,25.43,872.3,13485,19262,4.9,9.4,MEDIUM
Kevlar,Jungle,1473.94,30.24,2025.9,11946,8167,2.7,5.8,HIGH
Bamboo Fibre,High Altitude,558.29,39.12,1482.1,14472,7308,3.9,2.5,HIGH
Nylon,High Altitude,652.83,20.49,1134.8,10127,6669,4.1,2.1,HIGH
Cotton,General Use,330.05,7.53,390.9,4662,2450,4.9,1.1,MEDIUM
Wool,General Use,894.03,4.85,239.6,8364,8797,3.1,2.7,LOW
Wool,General Use,1165.09,7.42,526.0,7410,8211,3.7,5.5,LOW
Nylon,Coastal,555.07,11.04,610.9,12398,7164,3.0,3.5,MEDIUM
Nylon,Jungle,595.48,35.45,1406.6,15997,23616,4.2,9.9,MEDIUM
Polyester,General Use,356.87,8.2,522.2,8686,6242,3.8,3.7,MEDIUM
Kevlar,General Use,3213.05,6.42,445.8,8293,8675,3.3,2.2,LOW
Nylon,Cold Desert,540.88,12.28,679.2,10658,15050,2.6,9.8,MEDIUM
Cotton,Jungle,520.33,35.61,1964.1,18239,18885,1.6,3.6,MEDIUM
Polyester,Coastal,341.72,11.81,595.7,12577,12205,3.7,1.0,MEDIUM
Cotton,General Use,264.77,9.17,339.0,9878,11151,2.8,6.9,LOW
Bamboo Fibre,Jungle,631.98,28.68,2216.1,19524,27750,3.2,3.5,MEDIUM
Nylon,High Altitude,545.86,36.95,2563.9,6086,5333,4.2,4.7,MEDIUM
Bamboo Fibre,Hot Desert,326.89,21.16,1408.5,6382,3332,2.9,6.7,HIGH
Bamboo Fibre,High Altitude,602.0,21.57,1290.2,7071,5318,2.9,6.4,HIGH
Bamboo Fibre,Coastal,396.73,5.6,397.7,12472,17867,4.1,7.3,LOW
Wool,Coastal,561.78,14.53,916.5,13362,19960,3.9,2.8,MEDIUM
Kevlar,General Use,2170.59,3.47,147.2,5158,3848,2.4,4.8,MEDIUM
Kevlar,Coastal,1593.44,5.87,209.8,13622,19736,2.7,9.5,LOW
Wool,Hot Desert,604.78,15.54,759.0,7312,8115,4.1,7.3,MEDIUM
Kevlar,Jungle,1412.96,18.43,586.0,9499,5071,4.1,6.1,HIGH
Cotton,General Use,498.42,3.54,247.9,6486,7071,4.4,4.4,LOW
Cotton,General Use,573.93,7.43,332.7,9840,13580,2.9,3.0,LOW
Polyester,General Use,414.18,9.03,344.1,6363,9020,2.2,4.0,LOW
Kevlar,Jungle,1216.53,16.71,1003.7,13285,18184,1.5,8.0,MEDIUM
Bamboo Fibre,Jungle,415.53,31.38,1225.5,7568,8095,2.8,8.9,MEDIUM
Wool,High Altitude,1124.03,24.35,1169.5,13029,16800,2.4,2.8,MEDIUM
Polyester,High Altitude,194.14,36.11,2470.7,6740,6107,2.0,9.9,MEDIUM
Nylon,Cold Desert,662.74,25.8,1577.4,8414,4422,4.2,5.6,HIGH
Bamboo Fibre,Coastal,672.0,13.81,493.4,10443,13842,3.1,2.8,MEDIUM
Cotton,General Use,370.61,9.92,361.1,3720,2599,4.7,5.8,MEDIUM
Polyester,Hot Desert,364.12,17.32,824.7,10838,11811,4.2,1.1,MEDIUM
Cotton,General Use,486.81,6.49,368.5,9613,13882,4.7,9.4,LOW
Kevlar,Coastal,2234.32,12.84,997.1,7353,3242,3.7,4.0,MEDIUM
Kevlar,Jungle,1773.6,27.1,1761.6,11756,18642,2.8,3.5,MEDIUM
Polyester,High Altitude,392.75,24.61,1735.2,10858,10461,1.9,6.1,MEDIUM
Polyester,Coastal,190.9,11.83,548.9,4554,3832,2.6,4.5,MEDIUM
Kevlar,Cold Desert,2343.46,13.72,987.6,7218,5984,3.7,2.5,MEDIUM
Kevlar,Hot Desert,1793.0,23.07,1260.4,10972,8111,3.6,2.8,HIGH
Bamboo Fibre,Coastal,352.89,11.26,609.6,7004,3991,3.7,8.4,MEDIUM
Bamboo Fibre,Jungle,300.82,35.6,2382.5,9842,5638,4.4,2.9,HIGH
Kevlar,Hot Desert,2805.31,14.84,465.9,6661,10116,1.2,8.9,MEDIUM
Kevlar,Jungle,2073.34,27.5,1777.7,17802,13654,2.5,9.0,HIGH
Cotton,Hot Desert,399.13,14.65,790.3,6574,8396,2.3,5.8,MEDIUM
Bamboo Fibre,High Altitude,251.72,24.32,1553.2,9301,12409,1.2,8.9,MEDIUM
Bamboo Fibre,Coastal,267.88,8.12,629.6,9609,11514,3.8,6.4,LOW
Nylon,High Altitude,368.73,30.04,1626.0,11633,7188,3.8,9.3,HIGH
Cotton,General Use,489.33,7.29,382.3,9467,8172,1.4,4.0,MEDIUM
Kevlar,Coastal,2156.78,12.6,708.1,13730,10089,2.8,9.5,MEDIUM
Wool,High Altitude,1107.32,29.81,1211.1,10853,10346,4.9,4.5,MEDIUM
Kevlar,Cold Desert,2643.26,26.31,1771.1,10710,5493,2.8,8.0,HIGH
Polyester,Hot Desert,273.09,13.8,593.5,10762,9558,2.0,4.3,MEDIUM
Kevlar,General Use,3145.74,9.9,411.1,9876,5350,3.8,2.6,MEDIUM
Nylon,High Altitude,789.85,24.27,1892.1,8633,11174,3.1,1.6,MEDIUM
Polyester,Cold Desert,240.05,20.61,1131.4,12281,10226,2.3,7.7,HIGH
Bamboo Fibre,Cold Desert,688.36,26.54,1140.5,11765,9147,3.1,1.2,HIGH
Nylon,Cold Desert,658.24,26.93,1954.3,13291,13459,2.8,1.7,MEDIUM
Nylon,Jungle,774.61,18.17,1362.2,19490,19002,4.2,4.7,MEDIUM
Polyester,Cold Desert,364.96,22.3,925.4,13524,13741,3.6,4.9,MEDIUM
Wool,Hot Desert,464.2,16.65,1243.0,10436,5146,3.7,8.5,MEDIUM
Bamboo Fibre,General Use,356.54,5.48,411.7,3888,5007,3.6,7.8,LOW
Polyester,High Altitude,391.23,28.59,1763.5,11942,18472,3.8,1.6,MEDIUM
Wool,General Use,678.51,3.46,198.3,6236,7462,3.7,8.6,LOW
Wool,General Use,798.75,3.78,268.1,7371,8185,1.4,8.5,LOW
Polyester,High Altitude,235.69,31.08,1828.8,15718,21585,4.8,3.9,MEDIUM
Wool,High Altitude,716.76,40.51,2413.1,6888,7555,2.5,6.7,MEDIUM
Wool,Cold Desert,635.9,14.27,846.3,13441,17326,1.1,5.8,MEDIUM
Polyester,Hot Desert,395.09,16.06,774.0,8529,13636,2.2,2.1,MEDIUM
Polyester,Hot Desert,407.56,16.48,496.8,7397,6367,1.5,7.3,MEDIUM
Nylon,Hot Desert,830.02,20.49,1109.7,8389,9672,3.4,8.9,MEDIUM
Polyester,Jungle,449.27,29.42,2037.5,14393,16217,4.2,8.5,MEDIUM
Kevlar,Jungle,1204.57,36.43,2272.5,16284,21339,3.8,1.9,MEDIUM
Kevlar,Hot Desert,1828.81,11.11,640.9,12379,18198,4.4,7.3,MEDIUM
Wool,Jungle,968.25,24.69,893.9,16438,20467,3.8,5.2,MEDIUM
Cotton,Coastal,461.22,6.62,394.6,5465,4305,4.4,6.8,MEDIUM
Nylon,Hot Desert,733.03,18.25,643.7,11602,12955,5.0,9.0,MEDIUM
Bamboo Fibre,Jungle,286.03,24.35,825.3,15887,20494,2.8,8.4,MEDIUM
Nylon,High Altitude,616.6,41.65,3172.7,6364,8061,4.6,4.8,MEDIUM
Nylon,High Altitude,482.88,36.69,2104.6,8459,7106,1.5,5.4,MEDIUM
Wool,General Use,460.51,7.24,341.2,7359,9348,1.2,4.1,LOW
Nylon,General Use,350.68,8.55,496.0,8478,9275,3.8,7.4,LOW
Cotton,Hot Desert,361.18,17.04,1254.8,7589,7854,3.0,10.0,MEDIUM
Wool,Cold Desert,863.99,20.83,903.5,11282,7915,3.0,5.5,HIGH
Wool,Hot Desert,997.39,17.73,708.8,5608,6036,3.7,2.5,MEDIUM
Nylon,Hot Desert,830.71,21.78,1236.7,6888,6999,2.4,2.3,MEDIUM
Nylon,Jungle,473.03,30.31,1915.0,18665,14081,2.6,2.0,HIGH
Nylon,Hot Desert,509.62,12.27,582.2,12216,13643,3.3,3.0,MEDIUM
Nylon,General Use,503.02,5.29,238.8,3385,1712,4.9,6.5,MEDIUM
Kevlar,Hot Desert,2966.86,16.66,964.7,10367,16265,5.0,6.3,MEDIUM
Cotton,Cold Desert,598.53,22.8,1732.9,10470,9732,1.5,7.2,MEDIUM
Nylon,Coastal,478.56,14.53,673.0,12785,10139,2.8,3.7,MEDIUM
Wool,Cold Desert,499.49,19.98,812.7,8789,4830,1.8,6.2,HIGH
Bamboo Fibre,General Use,443.01,9.69,551.2,3741,2554,3.2,7.8,MEDIUM
Polyester,Coastal,340.8,12.71,995.5,12830,9730,1.6,5.9,MEDIUM
Nylon,Jungle,687.13,18.22,1076.5,9272,6810,3.3,1.7,HIGH
Wool,General Use,986.83,7.57,470.0,6127,5737,2.9,4.1,MEDIUM
Kevlar,General Use,1299.31,6.83,298.3,6519,5344,3.2,2.3,MEDIUM
Kevlar,Coastal,1318.49,12.64,518.8,12039,4940,3.7,1.2,MEDIUM
Kevlar,Hot Desert,1644.92,24.33,1590.4,7189,6760,2.9,9.0,MEDIUM
Cotton,Coastal,210.0,12.31,837.2,5762,6846,3.8,8.7,MEDIUM
Kevlar,High Altitude,2520.37,30.57,1656.0,6965,7424,4.8,8.0,MEDIUM
Cotton,Coastal,534.48,11.16,493.1,11795,6731,2.9,2.8,MEDIUM
Wool,Hot Desert,412.36,17.34,1208.6,7346,5464,1.5,2.4,MEDIUM
Bamboo Fibre,High Altitude,498.36,42.53,2478.9,6329,3150,1.4,4.2,HIGH
Kevlar,Hot Desert,2187.53,16.18,1051.4,5248,7537,4.6,9.7,MEDIUM
Nylon,General Use,852.95,4.87,262.4,8044,8447,3.9,10.0,LOW
Cotton,General Use,500.17,4.53,171.0,6641,5784,1.2,5.8,MEDIUM
Kevlar,General Use,2407.17,3.34,160.0,5607,5199,2.9,1.4,MEDIUM
Bamboo Fibre,Hot Desert,567.89,10.06,525.0,10643,6079,3.8,4.4,MEDIUM
Nylon,Hot Desert,844.17,17.99,612.3,11497,7164,3.7,3.2,MEDIUM
Nylon,High Altitude,367.92,40.3,2557.6,17446,7415,1.7,8.7,HIGH
Cotton,Jungle,433.65,35.27,1734.3,6146,3793,4.1,8.8,HIGH
Kevlar,Cold Desert,1562.34,29.35,1713.0,8621,9756,3.3,9.2,MEDIUM
Bamboo Fibre,Hot Desert,492.11,19.84,1218.4,12767,13452,2.6,8.2,MEDIUM
Bamboo Fibre,General Use,496.9,5.84,417.9,9567,8403,4.8,7.2,MEDIUM
Bamboo Fibre,Cold Desert,278.89,29.54,2144.9,8324,9441,4.4,6.0,MEDIUM
Wool,Coastal,1115.13,8.18,639.6,7203,4363,3.0,3.9,MEDIUM
Polyester,Cold Desert,278.17,21.21,1670.3,12838,19995,2.8,6.4,MEDIUM
Bamboo Fibre,Coastal,396.03,9.08,281.3,12903,15916,1.2,5.7,LOW
Wool,General Use,979.66,4.67,254.9,7975,11006,4.6,6.1,LOW
Cotton,Coastal,521.85,5.55,425.1,5418,4121,1.6,1.2,MEDIUM
Nylon,General Use,644.66,9.09,558.5,9541,11614,2.9,5.1,LOW
Cotton,Hot Desert,282.46,11.58,369.3,8512,4875,2.3,4.7,MEDIUM
Bamboo Fibre,Hot Desert,298.82,12.69,682.8,5386,6227,3.3,1.3,MEDIUM
Wool,Cold Desert,848.47,12.77,554.2,9107,3739,2.7,1.7,MEDIUM
Nylon,Hot Desert,765.92,11.54,687.6,12237,16611,3.5,3.0,MEDIUM
Polyester,Hot Desert,257.45,14.02,913.9,4394,3638,1.5,1.6,MEDIUM
Polyester,Hot Desert,220.84,12.32,776.0,8698,4542,4.2,3.0,MEDIUM
Bamboo Fibre,Jungle,297.34,29.99,1589.0,8580,4067,4.0,6.6,HIGH
Kevlar,Hot Desert,1860.01,18.27,1040.5,9994,8688,2.6,3.0,MEDIUM
Bamboo Fibre,High Altitude,437.06,33.01,1724.2,9912,9522,4.7,4.9,MEDIUM
Polyester,Coastal,349.07,11.52,476.1,9333,12549,1.2,9.1,MEDIUM
Nylon,Hot Desert,727.18,23.59,1678.0,5731,7326,3.7,1.3,MEDIUM
Wool,Cold Desert,751.88,15.71,518.1,13099,15476,3.9,1.1,MEDIUM
Polyester,Hot Desert,333.77,16.31,945.7,11694,8558,3.9,1.9,MEDIUM
Polyester,Cold Desert,289.47,15.41,516.6,11991,6322,1.9,2.3,MEDIUM
