Fabric_Type,Weight_gsm,Breathability,Insulation,Tensile_Strength,Moisture_Absorption,Recyclability,Biodegradability,Cost_Rs_per_meter,Terrain,Performance_Score
Cotton,229.98181113439048,4.733375521038987,3.4606636473763563,1.507379469858344,8.782501386295479,8.316109082170698,9.997459059575176,1495.1234137571628,Cold Desert,29.83
Rayon,326.07597285776336,9.502891568941852,8.646826516096702,3.226132915688779,5.054897217790842,2.162434736363455,9.586459245328502,928.953219953776,Hot Desert,61.73
Cotton,294.94421900987413,6.5631541641210625,4.223464462295564,2.022018329796661,7.044158760335196,5.68276930813414,7.950865525620754,804.2370766123904,Jungle,35.24
Cotton,256.6101884078354,6.0484417438184765,8.889882423925105,4.631345795911574,2.2061370560557667,1.2590440868200508,7.796235301062571,949.4488494625238,Hot Desert,43.93
Blended Fabric C,148.14853168285143,2.2273432802809277,1.1309019910109375,4.155288029259372,6.309259181691698,4.530196405897591,4.937274298213562,1361.0301070159353,Jungle,32.81
Blended Fabric A,244.47663653113946,8.052877114670288,4.568885040891431,6.598780302050861,8.761273378720706,9.54568561291878,2.323661328361341,1393.5520564841668,Hot Desert,73.09
Cotton,162.63820425566666,5.132221806144352,9.820293177569294,5.4335628459358265,3.958764492587574,6.700607688850532,3.1613105690037377,160.0018257575627,Cold Desert,71.97
Rayon,120.97466846648717,2.3671242416106493,2.2494445538446914,6.767872703228932,2.6369207595923037,4.111005549914768,9.071095689154106,737.2443783811649,Cold Desert,52.53
Polyester,272.6193265731073,3.0146415931568855,8.396115731600043,4.105743650401481,4.128572930344152,1.2862421333664862,5.938437782866678,824.9140804121583,Jungle,50.23
Blended Fabric B,366.14952412669624,2.158735584696795,3.9708956197913987,3.894244882120261,1.8306152760587149,5.330308546506639,7.190062453864747,791.9026696435288,Humid Coast,52.65
Cotton,168.6008474071052,8.255811518137552,7.734337213452926,2.6606891742073957,2.8841439100303927,4.334248925122438,5.360706866719192,946.4694187189291,Humid Coast,60.69
Spandex,310.56513964526874,1.561072262601173,2.3296518271560402,2.1980523572873043,7.18448954862998,8.599966053702659,7.746546088077286,94.18462146371152,Hot Desert,34.73
Blended Fabric B,193.32693465380015,4.574474492536742,1.9438224987923283,7.636646854844372,2.6405549062836227,6.075685828169528,8.566389872901379,179.34627663248148,Hot Desert,56.9
Blended Fabric A,364.9687298367664,6.342332081986438,7.111920872300407,8.102541147466045,5.485979790361515,1.7822825927868133,5.83395887636693,900.9196211302748,Jungle,62.16
Spandex,218.1310547934974,2.148222725160074,3.55398315218852,4.267740667587716,6.8132551719844106,6.137004742020207,4.204870533080616,1480.4471107498205,Cold Desert,44.83
Blended Fabric A,155.91257335551825,1.9160422535836337,2.375732252658988,3.213619555460573,2.446132359336001,2.679103216461752,3.565856518244624,301.39171317739454,Humid Coast,46.06
Blended Fabric A,105.6747986117255,5.720602506132292,4.693571442906954,9.841407552177458,2.008350119512471,4.580700391411675,9.72523389947832,1304.9853325462714,Hot Desert,60.91
Acrylic,162.52890465438074,2.5379882865105925,7.017788979319879,9.364383902148273,6.010866037125368,6.144514205229099,3.5198118429425573,1165.7647531283085,Hot Desert,43.39
Blended Fabric B,183.57735564935797,4.828927947547751,5.568493408160095,3.181687591735722,2.033531422652832,6.495580381974693,3.597674979162302,892.7954210627878,Humid Coast,56.64
Wool,182.60550149104458,6.344947878021089,4.323074333589065,5.088411749971897,5.937428061443379,5.940297819000795,2.8155741609721225,1042.6287444257582,Jungle,48.53
Cotton,124.42392750144651,1.024398094728967,2.050264577275132,5.25849580946703,6.454916929502548,8.148605049698162,1.9602932510209246,1283.5548170238594,Jungle,34.05
Polyester,119.7751115153743,7.577807276832798,9.44506411138934,2.6310975954909415,1.5984664063009975,7.670085843610531,6.170258018619207,1270.6517262994944,Jungle,66.1
Blended Fabric C,334.48553979516487,2.8146458804297008,2.4729034857913406,2.4783921813789362,8.33117248208244,6.986774986265801,5.707588822922074,570.3042019790786,Cold Desert,32.56
Blended Fabric B,205.58243437524334,8.349394955244193,4.952214177131966,4.392499864824169,5.164118071026458,3.7124008674772786,7.72848442158626,778.9445656340947,Cold Desert,41.57
Cotton,367.8638634478619,4.455020992358903,5.891975750025898,9.158248998680923,6.618141963225929,2.0520823663752767,9.458489112521276,960.1766769535559,Jungle,55.8
Blended Fabric B,124.56706325228393,8.146226703432664,6.580654803356621,5.801149827786894,9.045033247458619,8.097374901020777,2.365073917594761,501.99699830354496,Cold Desert,43.54
Blended Fabric C,318.0628136232566,1.3017919126220145,6.129007163841849,7.862128171666215,8.890890730855745,4.078735738443167,8.391315742048116,210.41601858505047,Jungle,36.76
Spandex,273.266519063204,5.520595127162771,5.85874573401553,5.37721733796047,4.6805965937694385,7.946937825384206,1.1098276508624005,917.7419167475792,Jungle,54.31
Wool,309.1773039145447,6.391264282995938,8.441189450281705,9.63167315107625,4.082718314606891,3.0461588472698833,4.8123717617843464,467.49794388980285,Humid Coast,73.79
Blended Fabric B,267.59354624537514,5.5529981099601935,6.503088118911831,1.1629916543875645,8.849115180497364,9.38906454235251,6.086198652302881,1060.1436946214938,Jungle,25.7
Kevlar,306.3163629802875,2.3728513862283522,6.186595241501319,6.460435417445703,4.817176041721474,7.627998120622506,9.409303132921133,1392.0743437148258,Humid Coast,51.04
Cotton,116.23617466904167,9.863570790661012,8.550082778013408,2.1219641308294017,9.28757694355635,8.829067258559155,5.669542514134649,907.3493818301474,Cold Desert,40.14
Blended Fabric A,318.1598885898524,2.8502182753807377,8.09010899843043,6.433493785571251,2.0284057005011897,4.730541257832649,8.771663265516612,1388.292336107803,Humid Coast,64.98
Polyester,233.86783298850355,9.266092524453711,6.283614017229105,1.295620032190945,9.21474516591216,3.2340379848143668,6.198687586823925,289.99431027056204,Cold Desert,30.76
Spandex,179.67141476248236,8.024461367914789,3.498284553664763,2.9808749267298733,2.9141270590710366,5.636563141661314,9.779871841144807,715.534032624669,Jungle,56.83
Acrylic,355.40224572503485,5.815627470402927,2.660165842769705,3.6963632058982934,3.789432336417498,4.575863039118381,4.841100148030744,1209.6839320076906,Hot Desert,54.94
Cotton,91.69589371139037,5.248602505989993,6.083570199363548,1.5913777548551713,7.9797485502550956,5.079599512732249,5.7195124239482205,689.1059830604308,Hot Desert,45.24
Acrylic,324.91400994119704,1.9268333139818397,4.00926530179434,1.679530274235003,7.779215986727058,3.450716692482695,9.076873688369957,813.538776655976,Cold Desert,39.98
Rayon,393.25805939710756,8.558099735109135,8.802943840103712,4.671860458283602,5.9655033573340575,3.2849970763897387,2.7650178972410755,782.986424703749,Jungle,56.07
Acrylic,188.5667986867811,6.124991659871503,8.987144342621527,6.010494263050295,7.48731786679456,8.247834706221145,9.898559037598986,924.6362331566204,Hot Desert,52.16
Blended Fabric C,388.0477819375599,9.49968753019546,2.2697366389994222,4.657530774461698,3.915910549961197,1.782325134553144,6.699166974198645,1117.0616891342033,Cold Desert,31.56
Nylon,119.28860469206671,8.887996682877645,6.786330072528279,7.335515216246585,9.195616031862736,6.62285143938926,4.022792714348515,1246.4056305628567,Humid Coast,49.79
Rayon,90.95299546256932,8.475890559087247,4.1067293039314805,7.964510708812062,4.2648210519935095,8.749612179772495,2.9755947257286284,1463.0935345383614,Jungle,67.89
Spandex,116.556136294527,6.091989579699044,9.868305810175611,5.239589074244329,2.6389642493942493,5.363005304353115,5.612118902937294,1125.446069131565,Hot Desert,43.84
Blended Fabric A,162.52405933862474,2.254204666655417,8.514372131193692,9.85961962633197,5.731211640724172,2.5451135726347314,3.4507659386743206,76.66648099382677,Hot Desert,39.69
Kevlar,340.81741708878627,5.482816781599052,1.6045785992413908,4.6472327922491985,5.4771840458190155,7.481823234690662,1.9592085711580691,253.02688105765105,Humid Coast,44.6
Blended Fabric A,165.2794858786823,7.589661206131561,3.25657594505438,6.697882570217028,5.448464651244443,6.159649403614606,8.542962668604662,636.3531772460852,Hot Desert,70.28
Blended Fabric B,215.05153905621995,4.184842389051245,9.627644595818985,2.659338286110669,1.8130326451984708,7.938873329819307,1.6142473481868242,1263.7645365193925,Humid Coast,58.72
Wool,310.09468965895854,3.6740954406085753,6.097641762672074,5.284453619791897,6.973040488263833,9.431467653922821,7.593148874892252,361.6635489565973,Jungle,41.41
Wool,131.84444092530708,8.57376694279039,8.617670643831016,9.597126814511311,2.392049267949126,6.609992958144916,5.268135778303327,549.3564114641382,Jungle,84.99
Cotton,212.09393619416073,7.344329947200578,6.384574524413392,5.13713361485018,1.6834006933265988,1.6998880967106138,1.0210545156320043,1453.1641129002753,Hot Desert,55.91
Polyester,112.98999872439836,3.831369011284698,8.266872266350852,9.65888907187706,8.110122029126705,7.215042092010766,5.691706006722125,175.72255720016625,Jungle,52.47
Spandex,322.6855724626181,6.750544468008356,7.831322609849648,7.516929963458248,6.735084218105381,9.825191201619894,9.130274313724225,987.6641327198869,Humid Coast,56.94
Blended Fabric B,96.51065813078719,7.029257180950353,1.3974889393909016,6.294373812729379,9.994181496092514,6.002259232934617,5.258891062732,503.6395419331019,Humid Coast,34.36
Kevlar,313.9275748666501,2.7333912500706736,2.0375381912255595,4.795863937574612,8.158076541631877,7.7055809330819836,1.4939435318182743,709.9583433024263,Humid Coast,29.26
Blended Fabric B,286.25492820026307,6.851506153989053,4.282275245115753,6.046094746031626,5.329556954596778,8.96498520870953,5.772386193714102,689.4966345348344,Humid Coast,54.81
Rayon,180.8929081057953,5.855421631378035,8.116508483550671,3.8687725263886295,6.633022387933082,8.973799734125684,6.542768693640741,387.79123839276895,Humid Coast,44.9
Nylon,358.43163964829756,1.1914246976534844,8.872315054157795,5.760434206244907,9.451609286616065,8.189049121962988,9.981406994800038,558.5321324049797,Hot Desert,29.18
Cotton,208.6178923549575,5.318880582735179,6.64754916896533,8.863094027677048,9.856751222793656,7.914460724780664,4.759901039506004,660.9676533017517,Cold Desert,53.97
Cotton,156.40868664585673,1.994267018182552,4.191599418766989,3.5851509248867357,3.6667730841039106,3.1024697594491895,1.378838706727257,75.91720536345002,Hot Desert,32.43
Blended Fabric A,115.02963157731685,4.524671264863205,2.119938015671707,9.607741278034824,8.18190389929045,3.330843864416323,6.296988060759208,1474.3792468661184,Humid Coast,47.26
Spandex,229.5684835999583,6.520702502896369,2.503305514828677,9.92051763523279,3.0850453124509905,9.48458596721613,6.846819840931316,931.2183525743458,Cold Desert,50.64
Blended Fabric B,95.02251428730017,4.456815503421247,1.3305874368395227,9.61543236684993,8.435851262145693,8.206927184168876,6.668001306965378,363.6698334030026,Cold Desert,38.77
Nylon,271.1277031777091,5.725283507742414,3.3421003115637458,5.637231318832533,5.420677067817639,9.967021982260519,9.076925332415835,721.9020849126489,Cold Desert,42.35
Spandex,319.31891330951316,1.313786442104424,9.05429297105056,8.741141347761314,5.116888879963366,4.520527894723418,3.4566343737068346,741.1814010790342,Humid Coast,57.44
Blended Fabric A,352.7019306710425,1.3188013157669056,3.961462288328839,9.384305394870909,7.616913890711075,3.532518645197741,3.273841845647966,57.36910273613765,Humid Coast,44.28
Kevlar,95.61074613541538,5.793422674606859,9.659097753328448,1.985219740490085,9.050319378712606,9.923278016305433,1.5536532361531155,1330.2140902493188,Hot Desert,42.67
Nylon,343.8979090960477,4.1302828711197375,7.102145373031572,6.09158767596212,3.403254431524792,8.907669877196422,8.176834194462353,1004.755160254717,Cold Desert,65.52
Blended Fabric C,357.5341443071368,7.3752667904353135,8.533119955273047,7.277243155023553,7.121266945842704,6.5675024039366585,7.774449756018771,279.97740267495686,Humid Coast,56.63
Blended Fabric B,228.95040280639475,8.911643322053184,1.046306536792433,8.379522256672901,3.0576264537243114,9.178311783424311,1.0100810033209853,856.4635158076476,Cold Desert,37.01
Rayon,141.8025166679338,1.7568840202118619,3.9379021885296366,6.038598810779465,2.042594711022319,4.390258257881189,1.0816516418745246,1237.0851597247706,Jungle,57.4
Acrylic,170.66974344498612,1.165849468643957,4.890167055032611,8.56109352467097,4.529360903006769,2.6154759108145007,7.783289506454673,1193.770123712579,Jungle,54.79
Wool,101.707858913655,3.708672102521346,7.373548797807534,1.6061554132189453,6.23953414158646,4.112947512576611,6.588239659907294,116.32594902814363,Hot Desert,33.25
Wool,287.22356588861044,6.349562733056908,4.452510343650596,1.5906353011661165,8.393616526666968,4.346501763148521,8.369070790213843,416.1376870481542,Humid Coast,28.35
Blended Fabric B,130.8602506485621,5.216854750917259,9.498732714620468,1.9197425772434709,8.687887970154094,5.743216865906759,8.43328689219907,482.6429249354893,Jungle,30.94
Polyester,327.3032896053775,3.0704831472829053,2.1820161376844025,8.812488902790637,9.669129880961187,1.281720823727646,7.58143060276317,1368.8105408743368,Cold Desert,40.87
Blended Fabric C,388.64655112646676,7.840846705942875,4.980688861428193,3.807567914456174,3.886684663943147,7.519804053527053,7.712533108278679,340.52075814563335,Cold Desert,44.08
Blended Fabric A,308.77569286471925,6.064752577090443,5.243792140922614,5.889095252109623,2.4332116445133805,2.8333112434864676,1.820480413655725,272.8041553336134,Humid Coast,65.31
Polyester,323.52767710175965,6.635982894682739,2.1812038991414884,1.2927356154212672,9.287630630341182,6.549852830686643,8.168835618785586,748.2074096931976,Hot Desert,60.69
Rayon,120.05945350481613,7.170087585060743,4.872753054095164,2.8047225403030307,5.424350920672932,1.577880433676207,6.237742617229589,440.04043643089165,Jungle,45.93
Spandex,179.3158268555436,5.09698134173621,1.1045848591729057,1.65202199015103,4.532442007660164,5.319449512454112,6.400184933073733,472.9107391284897,Cold Desert,28.46
Blended Fabric A,355.23916710054544,8.018658900040148,1.3565694281352143,5.32456252532046,1.9443716057635738,3.178405142762747,9.879963339404318,256.6185372071942,Jungle,65.59
Acrylic,277.8098349817981,7.322184734896935,6.036838151382227,1.087937626772653,3.938151774195927,5.6594047904624025,1.7907984923035003,558.4090502533121,Cold Desert,43.8
Wool,194.49643229704685,3.898852319974018,9.797197476833071,2.8077318087606473,7.2387454674041285,8.392966552088797,1.370651457513445,1022.0589146138977,Jungle,37.06
Blended Fabric C,119.750389352979,9.065991724165345,6.352989736392425,6.5494412367622665,6.516497573790454,3.6895229770358244,9.416816337695137,1423.658170815006,Jungle,58.07
Wool,188.62406161369793,8.33342602371861,1.7210336174620764,9.05334990454475,5.928331385383626,8.355679929662443,5.070864560664702,983.1876580349613,Cold Desert,36.47
Blended Fabric B,220.3543092766523,7.523439038866525,6.3395078347916085,6.852647672861085,5.313510357186585,6.541678197480185,3.9611569403319598,731.7647594101644,Cold Desert,53.39
Spandex,358.9864892713988,4.9028980056075,1.3929549193662507,2.455052897321224,1.187750253623843,6.879367173135971,3.99083162819598,836.5940217930829,Humid Coast,53.81
Nylon,106.08847665677655,4.629352250114486,2.9850501243009093,4.765598098008875,2.832204523080184,8.564071656492402,2.5677400292042827,1443.1317996561165,Hot Desert,49.54
Spandex,216.1578670233841,4.113414932922666,4.339348866861425,9.88884607362452,1.3609827227123423,8.803283465102037,6.208078677151541,685.9923578249062,Cold Desert,66.19
Polyester,235.73406125590492,8.860809142734945,9.106316776101327,4.795488341861098,3.4914501751154643,6.33115295734026,9.211270110550219,355.4601740582165,Cold Desert,61.31
Polyester,282.0992704296066,7.5980172017375285,2.1841091661453382,7.442424682138797,9.181292685990769,2.6171479798321777,3.1378899243148988,1458.5228863603775,Humid Coast,42.98
Kevlar,353.40322987826534,5.430500708032313,3.2250796696285935,8.836749111452603,5.007747295023989,5.633356185367211,4.233100324597891,909.7787345806448,Hot Desert,63.38
Cotton,205.14609172856342,9.724710901017588,3.3232008943101476,6.910629980871629,3.926710578022254,7.961258131179406,2.177862946465148,1456.24051536389,Humid Coast,67.8
Blended Fabric C,362.78709429144084,4.978219364045717,3.9780042669025475,5.038998164482628,7.0245136131342525,2.3118091142027652,5.044904516923639,902.4323381100611,Jungle,40.95
Cotton,160.80889026413416,4.23325673124621,4.414227309301814,6.449843418803946,4.210588477360015,5.80160732769726,8.036112968605265,1072.8091114626952,Jungle,55.39
Acrylic,145.86918721176585,2.007276574579551,3.4277465036529065,1.5137817048038338,5.780525752009288,9.429451230654653,1.3540918660165868,227.05937531453887,Hot Desert,31.99
Kevlar,378.8400056089296,3.8454049447907543,5.565113278195532,1.3741557314535289,2.3350888086587998,9.879671106629623,9.68606826792441,57.162972354893945,Hot Desert,33.18
Blended Fabric A,284.51838010096014,8.811264650680199,5.092658700704732,5.640364257213252,5.399619222312282,7.001778317914939,2.256861292806816,93.46170531538303,Cold Desert,43.23
Wool,305.49784407572696,2.816681069106535,7.060891899924256,9.729208414965434,1.8451064421047656,7.053419064026136,4.993751973741141,1308.8062688473829,Hot Desert,41.27
Polyester,291.72235211876693,9.807681586604774,4.368670904258134,1.15764391775856,3.197325613801368,8.477894722075348,8.78147952359533,1164.3530785594974,Humid Coast,54.67
Spandex,334.56331894284904,9.268100172941539,6.405485882916125,9.467878207042583,8.441549953406897,7.0027436529181655,6.194667130405733,555.4318175008572,Hot Desert,80.91
Polyester,273.5852552609731,3.8630039825630753,8.797948007748808,9.940032436227657,7.771849863540153,1.8143352575834566,3.598170359775743,208.2089660603371,Hot Desert,49.37
Acrylic,184.65061170023637,7.0083404700722625,8.270613477471327,7.860566212989542,8.18032283972771,4.920249833316397,8.360507945575193,224.30313028738223,Hot Desert,62.4
Rayon,81.84277135939891,3.9212724691024325,4.298153813842581,4.565554224483298,7.25920486020876,4.4970229114331115,5.038242603602776,394.43898976777484,Cold Desert,43.96
Nylon,152.72628072420846,1.6587633139159927,6.431037340432401,7.013915186995146,6.575413114086531,5.171446394205152,4.418072021613068,1301.8337918791467,Jungle,44.49
Polyester,233.33820084151392,1.2307785922579213,4.071230448635407,4.421760569072713,4.589405028072104,6.221551323045991,5.802422920541906,931.4623845504947,Jungle,41.44
Rayon,340.15543638914994,7.46310768603845,9.599713263594412,1.1640932440872547,2.7620018711519148,1.068065874803279,6.827272427391427,1352.144295977481,Cold Desert,60.28
Wool,376.6510543348181,1.5424065126060476,9.409924241249628,4.16460418515671,1.9127874560429485,5.372845832676931,3.3109891094845714,463.0657078447881,Humid Coast,57.34
Nylon,265.89825704409526,1.806637052394479,7.458722073177666,4.599146861237406,9.79052714796321,8.408566140360943,5.702329364645065,228.67284854964078,Jungle,25.71
Blended Fabric B,335.92995053568694,2.661266165833297,3.6575046029827907,8.140665323330536,2.667056018926687,9.259772402542396,4.820746826767257,176.206495752105,Hot Desert,44.94
